Title,Category
FLASH SALE | LIMITED TIME ONLY Shop Now,Urgency
Pillowcases & Shams,Not Dark Pattern
Write a review,Not Dark Pattern
"To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.",Not Dark Pattern
 newsletter signup (privacy policy) ,Not Dark Pattern
In demand buy now or your item will get out of stock soon,Scarcity
"We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.",Not Dark Pattern
Hurry! Only 2 items left in stock ,Scarcity
International Shipping Policy,Not Dark Pattern
"Clothes, Shoes & Accessories",Not Dark Pattern
Primary Arms Scopes,Not Dark Pattern
MoTrail,Not Dark Pattern
LCD Ribbon Cables,Not Dark Pattern
READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?,Not Dark Pattern
"1,142 people have added to cart recently",Social Proof
Limited Availability of the item in stock,Scarcity
No thanks. I don't like free things...,Misdirection
 read you will want to read -- Five Book Group Favourites * Sunday Post *,Not Dark Pattern
 Supply & Demand ,Not Dark Pattern
Rahul in Delhi just purchased five books recently  ,Social Proof
Bathroom Lighting,Not Dark Pattern
 Shop Optics > ,Not Dark Pattern
9 people are viewing this right now,Social Proof
"894 Claimed! Hurry, only a few left!",Scarcity
77 PEOPLE LIKE THIS PRODUCT IN SHORT PERIOD OF TIME,Social Proof
HURRY! EXCLUSIVE DEAL ONLY FOR YOU! 14:45 ON FIRST ORDER,Urgency
Offer ends in within a couple of hours.,Urgency
"Another girl from Haryana just ordered Flat Tummy Tea,Social Proof
"Someone in Amritsar Punjab Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,Social Proof
Daystate FAC Air Rifles,Not Dark Pattern
"Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab Shift+Tab and the Enter keys. Users can also use shortcuts such as “M” (menus) “H” (headings) “F” (forms) “B” (buttons) and “G” (graphics) to jump to specific elements.",Not Dark Pattern
24 items had been sold in last 24 hours.,Social Proof
 #CERTIFIED_FACE_MASKS ,Not Dark Pattern
Whey Protein Isolate,Not Dark Pattern
 Cases for Magsafe Refine by Product Type: Cases for Magsafe ,Not Dark Pattern
Product Info,Not Dark Pattern
